receptor	year	month	day	hour	hour.inc	lat	lon	height	pressure	date2	date
1	1950	2	14	0	0	-24.73	153.21	2000	NA	1950-02-14T00:00:00Z	1950-02-14T00:00:00Z
1	1950	2	13	23	-1	-24.749	153.488	1986.6	NA	1950-02-13T23:00:00Z	1950-02-14T00:00:00Z
1	1950	2	13	22	-2	-24.765	153.752	1975.9	NA	1950-02-13T22:00:00Z	1950-02-14T00:00:00Z
1	1950	2	13	21	-3	-24.774	154.004	1967.7	NA	1950-02-13T21:00:00Z	1950-02-14T00:00:00Z
1	1950	2	13	20	-4	-24.776	154.242	1961.8	NA	1950-02-13T20:00:00Z	1950-02-14T00:00:00Z
1	1950	2	13	19	-5	-24.768	154.466	1958.1	NA	1950-02-13T19:00:00Z	1950-02-14T00:00:00Z
1	1950	2	13	18	-6	-24.749	154.676	1956.5	NA	1950-02-13T18:00:00Z	1950-02-14T00:00:00Z
1	1950	2	13	17	-7	-24.725	154.886	1949.3	NA	1950-02-13T17:00:00Z	1950-02-14T00:00:00Z
1	1950	2	13	16	-8	-24.701	155.11	1929.9	NA	1950-02-13T16:00:00Z	1950-02-14T00:00:00Z
1	1950	2	13	15	-9	-24.677	155.352	1897.4	NA	1950-02-13T15:00:00Z	1950-02-14T00:00:00Z
1	1950	2	13	14	-10	-24.652	155.611	1853.3	NA	1950-02-13T14:00:00Z	1950-02-14T00:00:00Z
1	1950	2	13	13	-11	-24.625	155.891	1798.8	NA	1950-02-13T13:00:00Z	1950-02-14T00:00:00Z
1	1950	2	13	12	-12	-24.597	156.193	1735.5	NA	1950-02-13T12:00:00Z	1950-02-14T00:00:00Z
1	1950	2	13	11	-13	-24.568	156.504	1672.4	NA	1950-02-13T11:00:00Z	1950-02-14T00:00:00Z
1	1950	2	13	10	-14	-24.537	156.808	1618.1	NA	1950-02-13T10:00:00Z	1950-02-14T00:00:00Z
1	1950	2	13	9	-15	-24.504	157.102	1572.6	NA	1950-02-13T09:00:00Z	1950-02-14T00:00:00Z
1	1950	2	13	8	-16	-24.469	157.384	1536	NA	1950-02-13T08:00:00Z	1950-02-14T00:00:00Z
1	1950	2	13	7	-17	-24.432	157.651	1508.1	NA	1950-02-13T07:00:00Z	1950-02-14T00:00:00Z
1	1950	2	13	6	-18	-24.394	157.906	1487.7	NA	1950-02-13T06:00:00Z	1950-02-14T00:00:00Z
1	1950	2	13	5	-19	-24.354	158.155	1471.4	NA	1950-02-13T05:00:00Z	1950-02-14T00:00:00Z
1	1950	2	13	4	-20	-24.314	158.406	1456.5	NA	1950-02-13T04:00:00Z	1950-02-14T00:00:00Z
1	1950	2	13	3	-21	-24.273	158.658	1442.9	NA	1950-02-13T03:00:00Z	1950-02-14T00:00:00Z
1	1950	2	13	2	-22	-24.229	158.909	1430.3	NA	1950-02-13T02:00:00Z	1950-02-14T00:00:00Z
1	1950	2	13	1	-23	-24.182	159.156	1418.8	NA	1950-02-13T01:00:00Z	1950-02-14T00:00:00Z
1	1950	2	13	0	-24	-24.131	159.399	1408.1	NA	1950-02-13T00:00:00Z	1950-02-14T00:00:00Z
1	1950	2	12	23	-25	-24.086	159.641	1398.9	NA	1950-02-12T23:00:00Z	1950-02-14T00:00:00Z
1	1950	2	12	22	-26	-24.06	159.885	1391.6	NA	1950-02-12T22:00:00Z	1950-02-14T00:00:00Z
1	1950	2	12	21	-27	-24.053	160.134	1385.3	NA	1950-02-12T21:00:00Z	1950-02-14T00:00:00Z
1	1950	2	12	20	-28	-24.064	160.389	1379.1	NA	1950-02-12T20:00:00Z	1950-02-14T00:00:00Z
1	1950	2	12	19	-29	-24.094	160.653	1372.6	NA	1950-02-12T19:00:00Z	1950-02-14T00:00:00Z
1	1950	2	12	18	-30	-24.143	160.926	1365.9	NA	1950-02-12T18:00:00Z	1950-02-14T00:00:00Z
